trajectory_mode,effect_size,cell_id,phase,checkpoint,scope,measurement_space,statistic,n_replicates,n_available,n_unavailable,mean,sd,median
none,,type_i_baseline-5c0f9fe8a4ad,type_i_baseline,population_standardized,joint,standardized_feature,angle,100,100,0,6.208668533611227e-07,8.456176446584161e-07,0.0
none,,type_i_baseline-5c0f9fe8a4ad,type_i_baseline,population_standardized,joint,standardized_feature,delta,100,100,0,0.0,0.0,0.0
none,,type_i_baseline-5c0f9fe8a4ad,type_i_baseline,population_standardized,joint,standardized_feature,path_length[A],100,100,0,83.93985149043004,2.0420476663151157,83.99173033921204
none,,type_i_baseline-5c0f9fe8a4ad,type_i_baseline,population_standardized,joint,standardized_feature,path_length[B],100,100,0,83.93985149043004,2.0420476663151157,83.99173033921204
none,,type_i_baseline-5c0f9fe8a4ad,type_i_baseline,population_standardized,joint,standardized_feature,shape,100,100,0,1.1763204989478016e-15,3.5685775913222515e-16,1.1262772074376738e-15
none,,type_i_baseline-5c0f9fe8a4ad,type_i_baseline,population_standardized,methylation,standardized_feature,angle,100,100,0,6.62727127207032e-07,8.174091910796454e-07,0.0
none,,type_i_baseline-5c0f9fe8a4ad,type_i_baseline,population_standardized,methylation,standardized_feature,delta,100,100,0,0.0,0.0,0.0
none,,type_i_baseline-5c0f9fe8a4ad,type_i_baseline,population_standardized,methylation,standardized_feature,path_length[A],100,100,0,57.1793105215152,1.5546025357068773,57.42293143238136
none,,type_i_baseline-5c0f9fe8a4ad,type_i_baseline,population_standardized,methylation,standardized_feature,path_length[B],100,100,0,57.1793105215152,1.5546025357068773,57.42293143238136
none,,type_i_baseline-5c0f9fe8a4ad,type_i_baseline,population_standardized,methylation,standardized_feature,shape,100,100,0,1.0830316869114262e-15,2.1295424290801376e-16,1.038022497921597e-15
none,,type_i_baseline-5c0f9fe8a4ad,type_i_baseline,population_standardized,proteomics,standardized_feature,angle,100,100,0,6.925184002442286e-07,9.210120421537224e-07,0.0
none,,type_i_baseline-5c0f9fe8a4ad,type_i_baseline,population_standardized,proteomics,standardized_feature,delta,100,100,0,0.0,0.0,0.0
none,,type_i_baseline-5c0f9fe8a4ad,type_i_baseline,population_standardized,proteomics,standardized_feature,path_length[A],100,100,0,47.90681737422695,1.6275106300940185,47.82563869951518
none,,type_i_baseline-5c0f9fe8a4ad,type_i_baseline,population_standardized,proteomics,standardized_feature,path_length[B],100,100,0,47.90681737422695,1.6275106300940185,47.82563869951518
none,,type_i_baseline-5c0f9fe8a4ad,type_i_baseline,population_standardized,proteomics,standardized_feature,shape,100,100,0,1.1546351923089476e-15,4.432028386637224e-16,1.0728445965816407e-15
none,,type_i_baseline-5c0f9fe8a4ad,type_i_baseline,observed_standardized,expression,standardized_feature,angle,100,100,0,18.85446302721522,22.311423594247596,14.011632968584447
none,,type_i_baseline-5c0f9fe8a4ad,type_i_baseline,observed_standardized,expression,standardized_feature,delta,100,100,0,0.31029239335999875,0.20653515696976318,0.2638359879147387
none,,type_i_baseline-5c0f9fe8a4ad,type_i_baseline,observed_standardized,expression,standardized_feature,path_length[A],100,100,0,38.75600155492568,1.1080827245732847,38.84355432737812
none,,type_i_baseline-5c0f9fe8a4ad,type_i_baseline,observed_standardized,expression,standardized_feature,path_length[B],100,100,0,38.79243450800867,1.1416019016237042,38.780342233431846
none,,type_i_baseline-5c0f9fe8a4ad,type_i_baseline,observed_standardized,expression,standardized_feature,shape,100,100,0,0.018264904295258854,0.005344978687967667,0.017547670433686165
none,,type_i_baseline-5c0f9fe8a4ad,type_i_baseline,observed_standardized,joint,standardized_feature,angle,100,100,0,25.879135990469262,37.89961486812293,13.396970330911788
none,,type_i_baseline-5c0f9fe8a4ad,type_i_baseline,observed_standardized,joint,standardized_feature,delta,100,100,0,0.4089173673096927,0.3216032840277751,0.34153257639624
none,,type_i_baseline-5c0f9fe8a4ad,type_i_baseline,observed_standardized,joint,standardized_feature,path_length[A],100,100,0,84.79976206642174,2.0623382860489112,84.90210583679931
none,,type_i_baseline-5c0f9fe8a4ad,type_i_baseline,observed_standardized,joint,standardized_feature,path_length[B],100,100,0,84.76498882868931,2.0079730921128407,84.8340541210822
none,,type_i_baseline-5c0f9fe8a4ad,type_i_baseline,observed_standardized,joint,standardized_feature,shape,100,100,0,0.010172834981103456,0.004701412437569149,0.00938414570898144
none,,type_i_baseline-5c0f9fe8a4ad,type_i_baseline,observed_standardized,methylation,standardized_feature,angle,100,100,0,26.550156370763958,29.081133208311407,17.32769747707811
