trajectory_mode,effect_size,cell_id,transition_id,component,eligible_replicates,computed_replicates,failed_replicates,availability_rate,retention_cosine_mean,retention_norm_ratio_mean,residual_fraction_mean,precision_mean,recall_mean,selected_count_mean,bootstrap_sign_stability_mean,bootstrap_top_k_frequency_mean,top_k_jaccard,sign_agreement
orientation,0.5,power_primary-26e57b9905c7,0->1,pls_captured,100,100,0,1.0,,,,0.07999999999999999,0.006745419987462034,20.0,0.9392595744680848,0.03039513677811546,0.027472719961227274,0.6760088069673553
orientation,0.5,power_primary-26e57b9905c7,0->1,residual,100,100,0,1.0,,,,1.0,0.08565071558686041,20.0,0.8561159574468087,0.03039513677811546,0.042052767619425446,0.67174398272218
orientation,0.5,power_primary-26e57b9905c7,1->2,observed,100,100,0,1.0,0.06671006223865568,0.05671668285033586,0.9972108056274501,1.0,0.08710045570714349,20.0,0.8447425531914894,0.03039513677811546,0.04526592479122434,0.6827476750096972
orientation,0.5,power_primary-26e57b9905c7,1->2,pls_captured,100,100,0,1.0,,,,0.08649999999999997,0.007406772199823114,20.0,0.94234376899696,0.03039513677811546,0.026492445548642093,0.6947633000702048
orientation,0.5,power_primary-26e57b9905c7,1->2,residual,100,100,0,1.0,,,,1.0,0.08710045570714349,20.0,0.8550610942249242,0.03039513677811546,0.0437979248261795,0.6792032711373053
orientation,0.5,power_primary-26e57b9905c7,2->3,observed,100,100,0,1.0,0.06628265181888737,0.05879808010041393,0.9972323133593826,1.0,0.08648321417739817,20.0,0.842626595744681,0.03039513677811546,0.0465089888671059,0.6804606336653003
orientation,0.5,power_primary-26e57b9905c7,2->3,pls_captured,100,100,0,1.0,,,,0.06549999999999999,0.00555636974358882,20.0,0.9504922492401217,0.03039513677811546,0.025751629838317112,0.6896660873933597
orientation,0.5,power_primary-26e57b9905c7,2->3,residual,100,100,0,1.0,,,,1.0,0.08648321417739817,20.0,0.8536718844984802,0.03039513677811546,0.044268617429342426,0.6813297726864598
orientation,0.75,power_primary-ea21ea382a34,0->1,observed,100,100,0,1.0,0.07691556515431168,0.059803943449420735,0.996439867051895,1.0,0.066429566469897,20.0,0.8705518237082063,0.03039513677811546,0.042952657062345335,0.6570694365037967
orientation,0.75,power_primary-ea21ea382a34,0->1,pls_captured,100,100,0,1.0,,,,0.1265,0.008300502600560682,20.0,0.9497433130699088,0.03039513677811546,0.02348179525777437,0.7068255416081499
orientation,0.75,power_primary-ea21ea382a34,0->1,residual,100,100,0,1.0,,,,1.0,0.066429566469897,20.0,0.88283282674772,0.03039513677811546,0.041356966926454346,0.6557706091121922
orientation,0.75,power_primary-ea21ea382a34,1->2,observed,100,100,0,1.0,0.08065046911673761,0.06352647204749741,0.9959493954149015,1.0,0.06720875355326386,20.0,0.8678217325227964,0.03039513677811546,0.04381088012200961,0.6848291158625202
orientation,0.75,power_primary-ea21ea382a34,1->2,pls_captured,100,100,0,1.0,,,,0.13849999999999998,0.009071151996053323,20.0,0.9480557750759877,0.03039513677811546,0.02404747529806165,0.7138495256645939
orientation,0.75,power_primary-ea21ea382a34,1->2,residual,100,100,0,1.0,,,,1.0,0.06720875355326386,20.0,0.8822112462006076,0.03039513677811546,0.04228945333507946,0.6887762986572505
orientation,0.75,power_primary-ea21ea382a34,2->3,observed,100,100,0,1.0,0.07959350056854839,0.06359729184860047,0.9960504206215325,1.0,0.0679673805770661,20.0,0.8665182370820663,0.03039513677811546,0.04622555063873839,0.6989017324629484
orientation,0.75,power_primary-ea21ea382a34,2->3,pls_captured,100,100,0,1.0,,,,0.13699999999999998,0.009055977884178106,20.0,0.9510767477203643,0.03039513677811546,0.024670596028134262,0.6858621201236208
orientation,0.75,power_primary-ea21ea382a34,2->3,residual,100,100,0,1.0,,,,1.0,0.0679673805770661,20.0,0.880798328267477,0.03039513677811546,0.04616047251477313,0.6967824320249173
orientation,1.0,power_primary-ecebec8fe9ee,0->1,observed,100,100,0,1.0,0.07239541065180288,0.05610993060261217,0.9968364644273515,1.0,0.06583701109793641,20.0,0.8708671732522795,0.03039513677811546,0.042889370642928,0.6757638403691901
orientation,1.0,power_primary-ecebec8fe9ee,0->1,pls_captured,100,100,0,1.0,,,,0.13349999999999995,0.008614739412939965,20.0,0.9461050151975681,0.03039513677811546,0.023682091288808604,0.7030109628933152
orientation,1.0,power_primary-ecebec8fe9ee,0->1,residual,100,100,0,1.0,,,,1.0,0.06583701109793641,20.0,0.8828060790273555,0.03039513677811546,0.04176367220183043,0.6765926328852618
orientation,1.0,power_primary-ecebec8fe9ee,1->2,observed,100,100,0,1.0,0.07805586422166716,0.062336080574799134,0.996100094212126,1.0,0.06615744741378479,20.0,0.8670344984802435,0.03039513677811546,0.041878213658899294,0.6799968624888727
orientation,1.0,power_primary-ecebec8fe9ee,1->2,pls_captured,100,100,0,1.0,,,,0.14949999999999997,0.009529231638892788,20.0,0.9439904255319153,0.03039513677811546,0.024348681716164618,0.7077310362448607
orientation,1.0,power_primary-ecebec8fe9ee,1->2,residual,100,100,0,1.0,,,,1.0,0.06615744741378479,20.0,0.882425987841945,0.03039513677811546,0.04092482267970856,0.6820774232797348
orientation,1.0,power_primary-ecebec8fe9ee,2->3,observed,100,100,0,1.0,0.08111226062059403,0.06402459437818164,0.9958666018447815,1.0,0.06702443654570284,20.0,0.8691179331306987,0.03039513677811546,0.04503431520600174,0.6824232205277073
orientation,1.0,power_primary-ecebec8fe9ee,2->3,pls_captured,100,100,0,1.0,,,,0.15699999999999995,0.010142313719980218,20.0,0.9532290273556228,0.03039513677811546,0.02442126784560412,0.7103725176939459
orientation,1.0,power_primary-ecebec8fe9ee,2->3,residual,100,100,0,1.0,,,,1.0,0.06702443654570284,20.0,0.882720668693009,0.03039513677811546,0.04516945129668345,0.6824163528641154
