trajectory_mode,effect_size,cell_id,phase,statistic,stratum,n_strata,eigengap_low,eigengap_high,mean_eigengap,n_replicates,n_available,n_rejected,rejection_rate,monte_carlo_se,status
orientation,0.25,power_design-c2b181f4ad7f,power_design,angle,0,3,0.006631945582212362,0.04557172970305651,0.026433148876625956,34,34,24,0.7058823529411765,0.07814248990059665,ok
orientation,0.25,power_design-c2b181f4ad7f,power_design,angle,1,3,0.04651381956710704,0.07378177017327098,0.05977342293537812,33,33,23,0.696969696969697,0.08000055652754638,ok
orientation,0.25,power_design-c2b181f4ad7f,power_design,angle,2,3,0.07520197571544229,0.15093674238100224,0.09514837428952608,33,33,27,0.8181818181818182,0.06714081326145421,ok
orientation,0.25,power_design-c2b181f4ad7f,power_design,delta,0,3,0.006631945582212362,0.04557172970305651,0.026433148876625956,34,34,27,0.7941176470588235,0.06934458070529786,ok
orientation,0.25,power_design-c2b181f4ad7f,power_design,delta,1,3,0.04651381956710704,0.07378177017327098,0.05977342293537812,33,33,25,0.7575757575757576,0.07460090362383802,ok
orientation,0.25,power_design-c2b181f4ad7f,power_design,delta,2,3,0.07520197571544229,0.15093674238100224,0.09514837428952608,33,33,25,0.7575757575757576,0.07460090362383802,ok
orientation,0.25,power_design-c2b181f4ad7f,power_design,shape,0,3,0.006631945582212362,0.04557172970305651,0.026433148876625956,34,34,31,0.9117647058823529,0.04864330767996384,ok
orientation,0.25,power_design-c2b181f4ad7f,power_design,shape,1,3,0.04651381956710704,0.07378177017327098,0.05977342293537812,33,33,33,1.0,0.0,ok
orientation,0.25,power_design-c2b181f4ad7f,power_design,shape,2,3,0.07520197571544229,0.15093674238100224,0.09514837428952608,33,33,32,0.9696969696969697,0.029840361449535197,ok
orientation,0.25,power_design-fd7010f1ef00,power_design,angle,0,3,0.005677767442460402,0.04494232709529289,0.02726493161618106,34,34,27,0.7941176470588235,0.06934458070529786,ok
orientation,0.25,power_design-fd7010f1ef00,power_design,angle,1,3,0.04506333641241789,0.07693063095737696,0.060515326608073176,33,33,27,0.8181818181818182,0.06714081326145421,ok
orientation,0.25,power_design-fd7010f1ef00,power_design,angle,2,3,0.07724106927743773,0.1580676554882694,0.09701816205650388,33,33,29,0.8787878787878788,0.05681435554915709,ok
orientation,0.25,power_design-fd7010f1ef00,power_design,delta,0,3,0.005677767442460402,0.04494232709529289,0.02726493161618106,34,34,31,0.9117647058823529,0.04864330767996384,ok
orientation,0.25,power_design-fd7010f1ef00,power_design,delta,1,3,0.04506333641241789,0.07693063095737696,0.060515326608073176,33,33,29,0.8787878787878788,0.05681435554915709,ok
orientation,0.25,power_design-fd7010f1ef00,power_design,delta,2,3,0.07724106927743773,0.1580676554882694,0.09701816205650388,33,33,28,0.8484848484848485,0.06241559400538633,ok
orientation,0.25,power_design-fd7010f1ef00,power_design,shape,0,3,0.005677767442460402,0.04494232709529289,0.02726493161618106,34,34,34,1.0,0.0,ok
orientation,0.25,power_design-fd7010f1ef00,power_design,shape,1,3,0.04506333641241789,0.07693063095737696,0.060515326608073176,33,33,33,1.0,0.0,ok
orientation,0.25,power_design-fd7010f1ef00,power_design,shape,2,3,0.07724106927743773,0.1580676554882694,0.09701816205650388,33,33,33,1.0,0.0,ok
orientation,0.25,power_primary-d47b281e5c9b,power_primary,angle,0,3,0.010075422860240157,0.042610960731239045,0.028076149208158003,34,34,9,0.2647058823529412,0.07566114050404803,ok
orientation,0.25,power_primary-d47b281e5c9b,power_primary,angle,1,3,0.043193126594126774,0.07111212646839704,0.05641476082087171,33,33,16,0.48484848484848486,0.08699885606851798,ok
orientation,0.25,power_primary-d47b281e5c9b,power_primary,angle,2,3,0.07170876850623403,0.14955651688187083,0.09376591606490764,33,33,20,0.6060606060606061,0.08505811700208933,ok
orientation,0.25,power_primary-d47b281e5c9b,power_primary,delta,0,3,0.010075422860240157,0.042610960731239045,0.028076149208158003,34,34,23,0.6764705882352942,0.08023094083513455,ok
orientation,0.25,power_primary-d47b281e5c9b,power_primary,delta,1,3,0.043193126594126774,0.07111212646839704,0.05641476082087171,33,33,18,0.5454545454545454,0.08667841720414475,ok
orientation,0.25,power_primary-d47b281e5c9b,power_primary,delta,2,3,0.07170876850623403,0.14955651688187083,0.09376591606490764,33,33,19,0.5757575757575758,0.08603395906609154,ok
orientation,0.25,power_primary-d47b281e5c9b,power_primary,shape,0,3,0.010075422860240157,0.042610960731239045,0.028076149208158003,34,34,25,0.7352941176470589,0.07566114050404801,ok
orientation,0.25,power_primary-d47b281e5c9b,power_primary,shape,1,3,0.043193126594126774,0.07111212646839704,0.05641476082087171,33,33,26,0.7878787878787878,0.07116472642790657,ok
orientation,0.25,power_primary-d47b281e5c9b,power_primary,shape,2,3,0.07170876850623403,0.14955651688187083,0.09376591606490764,33,33,31,0.9393939393939394,0.04153602526317222,ok
orientation,0.5,power_design-0d4641cd04c4,power_design,angle,0,3,0.020020547101089414,0.14563961078309268,0.09455553675902523,34,34,7,0.20588235294117646,0.06934458070529785,ok
orientation,0.5,power_design-0d4641cd04c4,power_design,angle,1,3,0.15055478546341522,0.23382788228288431,0.18632105622128833,33,33,9,0.2727272727272727,0.07752753322022198,ok
orientation,0.5,power_design-0d4641cd04c4,power_design,angle,2,3,0.2507803254237903,0.5898177360166916,0.3540341118370831,33,33,16,0.48484848484848486,0.08699885606851798,ok
orientation,0.5,power_design-0d4641cd04c4,power_design,delta,0,3,0.020020547101089414,0.14563961078309268,0.09455553675902523,34,34,14,0.4117647058823529,0.08440353576228697,ok
orientation,0.5,power_design-0d4641cd04c4,power_design,delta,1,3,0.15055478546341522,0.23382788228288431,0.18632105622128833,33,33,14,0.42424242424242425,0.08603395906609154,ok
orientation,0.5,power_design-0d4641cd04c4,power_design,delta,2,3,0.2507803254237903,0.5898177360166916,0.3540341118370831,33,33,10,0.30303030303030304,0.08000055652754638,ok
orientation,0.5,power_design-0d4641cd04c4,power_design,shape,0,3,0.020020547101089414,0.14563961078309268,0.09455553675902523,34,34,20,0.5882352941176471,0.08440353576228697,ok
orientation,0.5,power_design-0d4641cd04c4,power_design,shape,1,3,0.15055478546341522,0.23382788228288431,0.18632105622128833,33,33,17,0.5151515151515151,0.08699885606851798,ok
orientation,0.5,power_design-0d4641cd04c4,power_design,shape,2,3,0.2507803254237903,0.5898177360166916,0.3540341118370831,33,33,16,0.48484848484848486,0.08699885606851798,ok
orientation,0.5,power_design-109c147a9915,power_design,angle,0,3,0.026678793400435163,0.1540006916281242,0.11034858759168795,34,34,21,0.6176470588235294,0.08334181380283408,ok
orientation,0.5,power_design-109c147a9915,power_design,angle,1,3,0.15678474316526309,0.20707306208705079,0.18387662614616385,33,33,22,0.6666666666666666,0.08206099398622183,ok
orientation,0.5,power_design-109c147a9915,power_design,angle,2,3,0.20723166001557675,0.3707904299078658,0.2555835976165043,33,33,27,0.8181818181818182,0.06714081326145421,ok
orientation,0.5,power_design-109c147a9915,power_design,delta,0,3,0.026678793400435163,0.1540006916281242,0.11034858759168795,34,34,18,0.5294117647058824,0.0856008088363528,ok
