baseline_continuity,generator.n_samples,trajectory_mode,effect_size,statistic,n_cells,n_replicates,n_available,n_rejected,rejection_rate,monte_carlo_se,n_eigengap_available,mean_eigengap,q33_eigengap,median_eigengap,q67_eigengap,n_angle_null_available,median_angle_null_q95,iqr_angle_null_q95,sd_angle_null_q95
0.0,1200,orientation,0.25,shape,1,100,100,100,1.0,0.0,100,0.06125612800881198,0.04494232709529289,0.05986129299372231,0.07693063095737696,100,5.858884937391828,6.680548242287531,43.83995902949007
0.0,1200,orientation,0.5,delta,1,100,100,86,0.86,0.03469870314579494,100,0.05738572135178257,0.0392576111738816,0.054126679200499156,0.0664784323975679,100,7.298572224287383,8.481774074325655,50.49372327388284
0.0,1200,orientation,0.5,angle,1,100,100,89,0.89,0.031288975694324025,100,0.05738572135178257,0.0392576111738816,0.054126679200499156,0.0664784323975679,100,7.298572224287383,8.481774074325655,50.49372327388284
0.0,1200,orientation,0.5,shape,1,100,100,100,1.0,0.0,100,0.05738572135178257,0.0392576111738816,0.054126679200499156,0.0664784323975679,100,7.298572224287383,8.481774074325655,50.49372327388284
0.0,1200,orientation,1.0,delta,1,100,100,86,0.86,0.03469870314579494,100,0.05425633006241824,0.03800711424513892,0.0486607369334596,0.0626378037982781,100,10.835109874005564,13.04619379017682,48.37035935265008
0.0,1200,orientation,1.0,angle,1,100,100,88,0.88,0.03249615361854384,100,0.05425633006241824,0.03800711424513892,0.0486607369334596,0.0626378037982781,100,10.835109874005564,13.04619379017682,48.37035935265008
0.0,1200,orientation,1.0,shape,1,100,100,100,1.0,0.0,100,0.05425633006241824,0.03800711424513892,0.0486607369334596,0.0626378037982781,100,10.835109874005564,13.04619379017682,48.37035935265008
0.5,300,orientation,0.25,delta,1,100,100,26,0.26,0.04386342439892262,100,0.1283404021972173,0.09737602590246813,0.12214391724477905,0.15207538676494747,100,25.98533627646878,21.212399100606792,34.24741070965472
0.5,300,orientation,0.25,angle,1,100,100,16,0.16,0.03666060555964672,100,0.1283404021972173,0.09737602590246813,0.12214391724477905,0.15207538676494747,100,25.98533627646878,21.212399100606792,34.24741070965472
0.5,300,orientation,0.25,shape,1,100,100,41,0.41,0.04918333050943175,100,0.1283404021972173,0.09737602590246813,0.12214391724477905,0.15207538676494747,100,25.98533627646878,21.212399100606792,34.24741070965472
0.5,300,orientation,0.5,delta,1,100,100,33,0.33,0.04702127178203499,100,0.12153984880567288,0.07700047690320849,0.12365335476252523,0.1508925784281946,100,30.58046672231442,24.93376201928904,41.85596671578378
0.5,300,orientation,0.5,angle,1,100,100,19,0.19,0.039230090491866064,100,0.12153984880567288,0.07700047690320849,0.12365335476252523,0.1508925784281946,100,30.58046672231442,24.93376201928904,41.85596671578378
0.5,300,orientation,0.5,shape,1,100,100,57,0.57,0.04950757517794625,100,0.12153984880567288,0.07700047690320849,0.12365335476252523,0.1508925784281946,100,30.58046672231442,24.93376201928904,41.85596671578378
0.5,300,orientation,1.0,delta,1,100,100,49,0.49,0.04998999899979995,100,0.10587815610958148,0.07060253796440391,0.08615793126348859,0.12507518503540205,100,56.58012461916681,116.58929983358502,57.38740401068467
0.5,300,orientation,1.0,angle,1,100,100,24,0.24,0.04270831300812525,100,0.10587815610958148,0.07060253796440391,0.08615793126348859,0.12507518503540205,100,56.58012461916681,116.58929983358502,57.38740401068467
0.5,300,orientation,1.0,shape,1,100,100,76,0.76,0.04270831300812525,100,0.10587815610958148,0.07060253796440391,0.08615793126348859,0.12507518503540205,100,56.58012461916681,116.58929983358502,57.38740401068467
0.5,600,orientation,0.25,delta,1,100,100,36,0.36,0.048,100,0.1642073477170196,0.13977794033870772,0.16063912804912348,0.18649342494050347,100,15.279660636775088,16.916380710418068,32.682490304083245
0.5,600,orientation,0.25,angle,1,100,100,38,0.38,0.048538644398046386,100,0.1642073477170196,0.13977794033870772,0.16063912804912348,0.18649342494050347,100,15.279660636775088,16.916380710418068,32.682490304083245
0.5,600,orientation,0.25,shape,1,100,100,63,0.63,0.048280430818293245,100,0.1642073477170196,0.13977794033870772,0.16063912804912348,0.18649342494050347,100,15.279660636775088,16.916380710418068,32.682490304083245
