generator.baseline_continuity,generator.n_samples,phase,is_baseline,trajectory_mode,effect_size,statistic,n_cells,n_replicates,n_available,n_rejected,rejection_rate,monte_carlo_se,n_eigengap_available,mean_eigengap,q33_eigengap,median_eigengap,q67_eigengap,n_angle_null_available,median_angle_null_q95,iqr_angle_null_q95,sd_angle_null_q95,n_selected_lv_available,median_selected_lv,min_selected_lv,max_selected_lv
0.5,300,power_design,False,orientation,0.25,delta,1,100,100,26,0.26,0.04386342439892262,100,0.1283404021972173,0.09737602590246813,0.12214391724477905,0.15207538676494747,100,25.98533627646878,21.212399100606792,34.24741070965472,100,4.0,3,4
0.5,300,power_design,False,orientation,0.25,angle,1,100,100,16,0.16,0.03666060555964672,100,0.1283404021972173,0.09737602590246813,0.12214391724477905,0.15207538676494747,100,25.98533627646878,21.212399100606792,34.24741070965472,100,4.0,3,4
0.5,300,power_design,False,orientation,0.25,shape,1,100,100,41,0.41,0.04918333050943175,100,0.1283404021972173,0.09737602590246813,0.12214391724477905,0.15207538676494747,100,25.98533627646878,21.212399100606792,34.24741070965472,100,4.0,3,4
0.5,300,power_design,False,orientation,0.5,delta,1,100,100,33,0.33,0.04702127178203499,100,0.12153984880567288,0.07700047690320849,0.12365335476252523,0.1508925784281946,100,30.58046672231442,24.93376201928904,41.85596671578378,100,4.0,3,4
0.5,300,power_design,False,orientation,0.5,angle,1,100,100,19,0.19,0.039230090491866064,100,0.12153984880567288,0.07700047690320849,0.12365335476252523,0.1508925784281946,100,30.58046672231442,24.93376201928904,41.85596671578378,100,4.0,3,4
0.5,300,power_design,False,orientation,0.5,shape,1,100,100,57,0.57,0.04950757517794625,100,0.12153984880567288,0.07700047690320849,0.12365335476252523,0.1508925784281946,100,30.58046672231442,24.93376201928904,41.85596671578378,100,4.0,3,4
0.5,300,power_design,False,orientation,1.0,delta,1,100,100,49,0.49,0.04998999899979995,100,0.10587815610958148,0.07060253796440391,0.08615793126348859,0.12507518503540205,100,56.58012461916681,116.58929983358502,57.38740401068467,100,4.0,4,5
0.5,300,power_design,False,orientation,1.0,angle,1,100,100,24,0.24,0.04270831300812525,100,0.10587815610958148,0.07060253796440391,0.08615793126348859,0.12507518503540205,100,56.58012461916681,116.58929983358502,57.38740401068467,100,4.0,4,5
0.5,300,power_design,False,orientation,1.0,shape,1,100,100,76,0.76,0.04270831300812525,100,0.10587815610958148,0.07060253796440391,0.08615793126348859,0.12507518503540205,100,56.58012461916681,116.58929983358502,57.38740401068467,100,4.0,4,5
0.5,300,power_design,False,translation,0.25,delta,1,100,100,4,0.04,0.019595917942265423,100,0.15221380738596132,0.11853319453564687,0.15480838495985189,0.17998086077340059,100,22.18999996461799,16.941585800231188,31.48314700745043,100,4.0,3,4
0.5,300,power_design,False,translation,0.25,angle,1,100,100,3,0.03,0.01705872210923198,100,0.15221380738596132,0.11853319453564687,0.15480838495985189,0.17998086077340059,100,22.18999996461799,16.941585800231188,31.48314700745043,100,4.0,3,4
0.5,300,power_design,False,translation,0.25,shape,1,100,100,2,0.02,0.014,100,0.15221380738596132,0.11853319453564687,0.15480838495985189,0.17998086077340059,100,22.18999996461799,16.941585800231188,31.48314700745043,100,4.0,3,4
0.5,300,power_design,False,translation,0.5,delta,1,100,100,4,0.04,0.019595917942265423,100,0.15171346343582917,0.11497338239228555,0.15390441898922444,0.19653309853194473,100,21.88553339893327,15.613195843957948,27.11227339995084,100,4.0,2,4
0.5,300,power_design,False,translation,0.5,angle,1,100,100,2,0.02,0.014,100,0.15171346343582917,0.11497338239228555,0.15390441898922444,0.19653309853194473,100,21.88553339893327,15.613195843957948,27.11227339995084,100,4.0,2,4
0.5,300,power_design,False,translation,0.5,shape,1,100,100,1,0.01,0.0099498743710662,100,0.15171346343582917,0.11497338239228555,0.15390441898922444,0.19653309853194473,100,21.88553339893327,15.613195843957948,27.11227339995084,100,4.0,2,4
0.5,300,power_design,False,translation,1.0,delta,1,100,100,6,0.06,0.023748684174075833,100,0.16314829738693729,0.13362247770015728,0.16697948295620013,0.19427232967105124,100,19.052392048068,15.085350481151668,15.289543155846896,100,4.0,3,4
0.5,300,power_design,False,translation,1.0,angle,1,100,100,1,0.01,0.0099498743710662,100,0.16314829738693729,0.13362247770015728,0.16697948295620013,0.19427232967105124,100,19.052392048068,15.085350481151668,15.289543155846896,100,4.0,3,4
0.5,300,power_design,False,translation,1.0,shape,1,100,100,1,0.01,0.0099498743710662,100,0.16314829738693729,0.13362247770015728,0.16697948295620013,0.19427232967105124,100,19.052392048068,15.085350481151668,15.289543155846896,100,4.0,3,4
0.5,600,power_design,False,none,0.0,delta,1,100,100,2,0.02,0.014,100,0.17863501749573188,0.14721240051712664,0.17510028927461274,0.21899916723619794,100,9.066400544953979,15.219201089513115,21.736050857738896,100,3.0,2,4
0.5,600,power_design,False,none,0.0,angle,1,100,100,0,0.0,0.0,100,0.17863501749573188,0.14721240051712664,0.17510028927461274,0.21899916723619794,100,9.066400544953979,15.219201089513115,21.736050857738896,100,3.0,2,4
0.5,600,power_design,False,none,0.0,shape,1,100,100,2,0.02,0.014,100,0.17863501749573188,0.14721240051712664,0.17510028927461274,0.21899916723619794,100,9.066400544953979,15.219201089513115,21.736050857738896,100,3.0,2,4
0.5,600,power_design,False,orientation,0.25,delta,1,100,100,36,0.36,0.048,100,0.1642073477170196,0.13977794033870772,0.16063912804912348,0.18649342494050347,100,15.279660636775088,16.916380710418068,32.682490304083245,100,4.0,3,4
0.5,600,power_design,False,orientation,0.25,angle,1,100,100,38,0.38,0.048538644398046386,100,0.1642073477170196,0.13977794033870772,0.16063912804912348,0.18649342494050347,100,15.279660636775088,16.916380710418068,32.682490304083245,100,4.0,3,4
0.5,600,power_design,False,orientation,0.25,shape,1,100,100,63,0.63,0.048280430818293245,100,0.1642073477170196,0.13977794033870772,0.16063912804912348,0.18649342494050347,100,15.279660636775088,16.916380710418068,32.682490304083245,100,4.0,3,4
0.5,600,power_design,False,orientation,0.5,delta,1,100,100,52,0.52,0.049959983987187186,100,0.1438774569022121,0.11305734257744676,0.14939064484245468,0.17887031259480685,100,18.679582511052367,12.988963146566261,35.49014614327925,100,4.0,3,4
0.5,600,power_design,False,orientation,0.5,angle,1,100,100,39,0.39,0.048774993593028795,100,0.1438774569022121,0.11305734257744676,0.14939064484245468,0.17887031259480685,100,18.679582511052367,12.988963146566261,35.49014614327925,100,4.0,3,4
0.5,600,power_design,False,orientation,0.5,shape,1,100,100,83,0.83,0.037563279941985904,100,0.1438774569022121,0.11305734257744676,0.14939064484245468,0.17887031259480685,100,18.679582511052367,12.988963146566261,35.49014614327925,100,4.0,3,4
0.5,600,power_design,False,orientation,1.0,delta,1,100,100,44,0.44,0.04963869458396343,100,0.11953759475928964,0.09019065342981963,0.11376354960483742,0.14901328102139588,100,26.175712513750824,42.22580574095912,54.18579689551698,100,4.0,4,6
0.5,600,power_design,False,orientation,1.0,angle,1,100,100,46,0.46,0.04983974317750845,100,0.11953759475928964,0.09019065342981963,0.11376354960483742,0.14901328102139588,100,26.175712513750824,42.22580574095912,54.18579689551698,100,4.0,4,6
0.5,600,power_design,False,orientation,1.0,shape,1,100,100,87,0.87,0.03363034344160047,100,0.11953759475928964,0.09019065342981963,0.11376354960483742,0.14901328102139588,100,26.175712513750824,42.22580574095912,54.18579689551698,100,4.0,4,6
0.5,600,power_design,False,translation,0.25,delta,1,100,100,3,0.03,0.01705872210923198,100,0.18457044552697432,0.1601449241819844,0.18238070801502657,0.2152559320535577,100,12.192161825392738,14.520206900739979,19.242226501208503,100,4.0,3,4
0.5,600,power_design,False,translation,0.25,angle,1,100,100,4,0.04,0.019595917942265423,100,0.18457044552697432,0.1601449241819844,0.18238070801502657,0.2152559320535577,100,12.192161825392738,14.520206900739979,19.242226501208503,100,4.0,3,4
0.5,600,power_design,False,translation,0.25,shape,1,100,100,3,0.03,0.01705872210923198,100,0.18457044552697432,0.1601449241819844,0.18238070801502657,0.2152559320535577,100,12.192161825392738,14.520206900739979,19.242226501208503,100,4.0,3,4
0.5,600,power_design,False,translation,0.5,delta,1,100,100,5,0.05,0.021794494717703367,100,0.18352175598740822,0.1631065517252796,0.18423828201214484,0.21166348550082664,100,5.451049339537686,13.29921117628701,17.115829545387587,100,3.0,2,4
