trajectory_mode,effect_size,cell_id,transition_id,component,eligible_replicates,computed_replicates,failed_replicates,availability_rate,retention_cosine_mean,retention_norm_ratio_mean,residual_fraction_mean,precision_mean,recall_mean,selected_count_mean,bootstrap_sign_stability_mean,bootstrap_top_k_frequency_mean,top_k_jaccard,sign_agreement
orientation,0.5,power_primary-5e2c6d914647,1->2,observed,500,500,0,1.0,0.07394047518903586,0.06230683792620227,0.9966172563613321,1.0,0.133627990817601,20.0,0.8178700303951367,0.030395136778115873,0.05766564956265824,0.6266332885977164
orientation,0.5,power_primary-5e2c6d914647,1->2,pls_captured,500,500,0,1.0,,,,0.07880000000000001,0.01029034446096869,20.0,0.964110790273556,0.030395136778115873,0.026171803853564074,0.6159976708367114
orientation,0.5,power_primary-5e2c6d914647,1->2,residual,500,500,0,1.0,,,,1.0,0.133627990817601,20.0,0.8375713373860192,0.030395136778115873,0.05597813306316075,0.6312406735695043
orientation,0.5,power_primary-5e2c6d914647,2->3,observed,500,500,0,1.0,0.073470305256597,0.06131626529049164,0.9965168201845119,1.0,0.13444722260037476,20.0,0.8204967477203646,0.030395136778115873,0.057083965770089326,0.6345193516764529
orientation,0.5,power_primary-5e2c6d914647,2->3,pls_captured,500,500,0,1.0,,,,0.07380000000000003,0.009682550495500531,20.0,0.9610101823708205,0.030395136778115873,0.02564710147734409,0.6156481058396645
orientation,0.5,power_primary-5e2c6d914647,2->3,residual,500,500,0,1.0,,,,1.0,0.13444722260037476,20.0,0.8393894224924013,0.030395136778115873,0.0551881876418618,0.6312855991514577
orientation,0.75,power_primary-1ed275cc35f0,0->1,observed,500,500,0,1.0,0.09118126218439988,0.07203068388317385,0.9949136329724815,1.0,0.09357391636804163,20.0,0.8386396960486321,0.030395136778115873,0.06630637342268772,0.6088606294126697
orientation,0.75,power_primary-1ed275cc35f0,0->1,pls_captured,500,500,0,1.0,,,,0.14399999999999988,0.013313302146184933,20.0,0.9680509422492399,0.030395136778115873,0.02665618494595641,0.6261062230786373
orientation,0.75,power_primary-1ed275cc35f0,0->1,residual,500,500,0,1.0,,,,1.0,0.09357391636804163,20.0,0.8656365957446808,0.030395136778115873,0.060792861668544404,0.612912434957982
orientation,0.75,power_primary-1ed275cc35f0,1->2,observed,500,500,0,1.0,0.08962008373583298,0.07120970485577494,0.9951849719340238,1.0,0.09284054847606316,20.0,0.8385703647416413,0.030395136778115873,0.06629269363669638,0.610282114852393
orientation,0.75,power_primary-1ed275cc35f0,1->2,pls_captured,500,500,0,1.0,,,,0.14519999999999988,0.013354582069213278,20.0,0.9691866565349537,0.030395136778115873,0.026927605818044275,0.6180585769271646
orientation,0.75,power_primary-1ed275cc35f0,1->2,residual,500,500,0,1.0,,,,1.0,0.09284054847606316,20.0,0.8651046200607904,0.030395136778115873,0.06084025067436175,0.6166676556435301
orientation,0.75,power_primary-1ed275cc35f0,2->3,observed,500,500,0,1.0,0.08670867286809494,0.06821818463202717,0.9953495199624448,1.0,0.09336516176021464,20.0,0.837651823708207,0.030395136778115873,0.06706563111183504,0.5922999443908589
orientation,0.75,power_primary-1ed275cc35f0,2->3,pls_captured,500,500,0,1.0,,,,0.14849999999999985,0.013603909077370859,20.0,0.965341458966565,0.030395136778115873,0.02712062062958072,0.6310074443132093
orientation,0.75,power_primary-1ed275cc35f0,2->3,residual,500,500,0,1.0,,,,1.0,0.09336516176021464,20.0,0.8632221276595746,0.030395136778115873,0.061377361022096996,0.6102724681785827
orientation,1.0,power_primary-6533cca3cff6,0->1,observed,500,500,0,1.0,0.10448040390524813,0.09399554449189568,0.9946347332627925,1.0,0.07272061443463612,20.0,0.855972310030396,0.030395136778115873,0.06319820027839591,0.5980202639331925
