trajectory_mode,effect_size,cell_id,phase,checkpoint,scope,measurement_space,statistic,n_replicates,n_available,n_unavailable,mean,sd,median
magnitude,0.75,power_primary-3b941f099b80,power_primary,observed_standardized,expression,standardized_feature,shape,500,500,0,0.010910285875605056,0.003720239459514951,0.010699122227227242
magnitude,0.75,power_primary-3b941f099b80,power_primary,observed_standardized,joint,standardized_feature,angle,500,500,0,27.42358327512149,30.58710773097341,18.614090074756167
magnitude,0.75,power_primary-3b941f099b80,power_primary,observed_standardized,joint,standardized_feature,delta,500,500,0,15.994511817639014,0.8383827693182613,15.994471180397646
magnitude,0.75,power_primary-3b941f099b80,power_primary,observed_standardized,joint,standardized_feature,path_length[A],500,500,0,62.820368404207734,2.5347310776610046,62.97104441186328
magnitude,0.75,power_primary-3b941f099b80,power_primary,observed_standardized,joint,standardized_feature,path_length[B],500,500,0,78.81488022184679,2.9996183911981604,78.88889163496674
magnitude,0.75,power_primary-3b941f099b80,power_primary,observed_standardized,joint,standardized_feature,shape,500,500,0,0.019160704138031632,0.006425051148323139,0.0186653339949136
magnitude,0.75,power_primary-3b941f099b80,power_primary,observed_standardized,methylation,standardized_feature,angle,500,500,0,21.533090108823203,32.90955922389332,11.943525943150306
magnitude,0.75,power_primary-3b941f099b80,power_primary,observed_standardized,methylation,standardized_feature,delta,500,500,0,24.64577671774631,1.044248023258731,24.63058580372769
magnitude,0.75,power_primary-3b941f099b80,power_primary,observed_standardized,methylation,standardized_feature,path_length[A],500,500,0,33.59157854841557,1.3086891095451514,33.62345028215857
magnitude,0.75,power_primary-3b941f099b80,power_primary,observed_standardized,methylation,standardized_feature,path_length[B],500,500,0,58.23735526616187,2.3050835534007907,58.24003753796511
magnitude,0.75,power_primary-3b941f099b80,power_primary,observed_standardized,methylation,standardized_feature,shape,500,500,0,0.012513656404468842,0.006944920765454847,0.010503518664071562
magnitude,0.75,power_primary-3b941f099b80,power_primary,observed_standardized,proteomics,standardized_feature,angle,500,500,0,8.744277020339943,18.640124171975938,6.240787271987003
magnitude,0.75,power_primary-3b941f099b80,power_primary,observed_standardized,proteomics,standardized_feature,delta,500,500,0,0.1206825947219556,0.09069701477612599,0.1031264780432366
