trajectory_mode,statistic,effect_size,cell_id,phase,rejection_rate,monte_carlo_se,available_replicates,completed_replicates,censored_fraction,duplicate_construction
shape,shape,1.0,power_primary-3f2eccb585e5,power_primary,0.996,0.002822764602300377,500,500,0.0,False
translation,angle,0.25,power_primary-ac245a5f3d63,power_primary,0.038,0.00855055553750749,500,500,0.0,False
translation,angle,0.5,power_primary-a3dabd0a79ce,power_primary,0.028,0.007377804551490911,500,500,0.0,False
translation,angle,0.75,power_primary-8d1d54882ad0,power_primary,0.05,0.009746794344808964,500,500,0.0,False
translation,angle,1.0,power_primary-94ae5b6e309e,power_primary,0.042,0.008970618707759236,500,500,0.0,False
translation,angle,1.0,type_i_baseline-d18f474778c9,type_i_baseline,0.048,0.009559916317625379,500,500,0.0,False
translation,delta,0.25,power_primary-ac245a5f3d63,power_primary,0.054,0.010107818755794942,500,500,0.0,False
translation,delta,0.5,power_primary-a3dabd0a79ce,power_primary,0.056,0.010282412168358162,500,500,0.0,False
translation,delta,0.75,power_primary-8d1d54882ad0,power_primary,0.04,0.008763560920082658,500,500,0.0,False
translation,delta,1.0,power_primary-94ae5b6e309e,power_primary,0.042,0.008970618707759236,500,500,0.0,False
translation,delta,1.0,type_i_baseline-d18f474778c9,type_i_baseline,0.044,0.009172131704244111,500,500,0.0,False
translation,shape,0.25,power_primary-ac245a5f3d63,power_primary,0.046,0.00936845771725528,500,500,0.0,False
translation,shape,0.5,power_primary-a3dabd0a79ce,power_primary,0.046,0.00936845771725528,500,500,0.0,False
translation,shape,0.75,power_primary-8d1d54882ad0,power_primary,0.044,0.009172131704244111,500,500,0.0,False
translation,shape,1.0,power_primary-94ae5b6e309e,power_primary,0.03,0.00762889244910426,500,500,0.0,False
translation,shape,1.0,type_i_baseline-d18f474778c9,type_i_baseline,0.062,0.010784804124322332,500,500,0.0,False
