trajectory_mode,effect_size,cell_id,phase,statistic,stratum,n_strata,eigengap_low,eigengap_high,mean_eigengap,n_replicates,n_available,n_rejected,rejection_rate,monte_carlo_se,status
orientation,0.75,power_primary-1ed275cc35f0,power_primary,angle,2,3,0.06569967826980039,0.16712057116553808,0.09172480992102794,166,166,151,0.9096385542168675,0.022252149604990046,ok
orientation,0.75,power_primary-1ed275cc35f0,power_primary,delta,0,3,0.002606606479231832,0.03792385551294103,0.024503024983094385,167,167,149,0.8922155688622755,0.023996874489851515,ok
orientation,0.75,power_primary-1ed275cc35f0,power_primary,delta,1,3,0.03802155491259218,0.06530484574001727,0.052071280759027394,167,167,151,0.9041916167664671,0.022775806174983478,ok
orientation,0.75,power_primary-1ed275cc35f0,power_primary,delta,2,3,0.06569967826980039,0.16712057116553808,0.09172480992102794,166,166,147,0.8855421686746988,0.024710033591276003,ok
orientation,0.75,power_primary-1ed275cc35f0,power_primary,shape,0,3,0.002606606479231832,0.03792385551294103,0.024503024983094385,167,167,167,1.0,0.0,ok
orientation,0.75,power_primary-1ed275cc35f0,power_primary,shape,1,3,0.03802155491259218,0.06530484574001727,0.052071280759027394,167,167,167,1.0,0.0,ok
orientation,0.75,power_primary-1ed275cc35f0,power_primary,shape,2,3,0.06569967826980039,0.16712057116553808,0.09172480992102794,166,166,166,1.0,0.0,ok
orientation,1.0,power_primary-6533cca3cff6,power_primary,angle,0,3,0.0016278087583137535,0.03786710044073355,0.02447639085540651,167,167,126,0.7544910179640718,0.03330446750126141,ok
orientation,1.0,power_primary-6533cca3cff6,power_primary,angle,1,3,0.03806223382210766,0.06363202502431886,0.04994678546788276,167,167,148,0.8862275449101796,0.0245715725374264,ok
orientation,1.0,power_primary-6533cca3cff6,power_primary,angle,2,3,0.0638413359701232,0.1810139757239294,0.08890761132067404,166,166,146,0.8795180722891566,0.025265581236464774,ok
orientation,1.0,power_primary-6533cca3cff6,power_primary,delta,0,3,0.0016278087583137535,0.03786710044073355,0.02447639085540651,167,167,152,0.9101796407185628,0.02212548079114814,ok
orientation,1.0,power_primary-6533cca3cff6,power_primary,delta,1,3,0.03806223382210766,0.06363202502431886,0.04994678546788276,167,167,154,0.9221556886227545,0.020732770000097274,ok
orientation,1.0,power_primary-6533cca3cff6,power_primary,delta,2,3,0.0638413359701232,0.1810139757239294,0.08890761132067404,166,166,150,0.9036144578313253,0.02290569580208956,ok
orientation,1.0,power_primary-6533cca3cff6,power_primary,shape,0,3,0.0016278087583137535,0.03786710044073355,0.02447639085540651,167,167,166,0.9940119760479041,0.005970068817367324,ok
orientation,1.0,power_primary-6533cca3cff6,power_primary,shape,1,3,0.03806223382210766,0.06363202502431886,0.04994678546788276,167,167,167,1.0,0.0,ok
orientation,1.0,power_primary-6533cca3cff6,power_primary,shape,2,3,0.0638413359701232,0.1810139757239294,0.08890761132067404,166,166,166,1.0,0.0,ok
