trajectory_mode,effect_size,cell_id,phase,statistic,stratum,n_strata,eigengap_low,eigengap_high,mean_eigengap,n_replicates,n_available,n_rejected,rejection_rate,monte_carlo_se,status
orientation,0.5,power_design-96aa7435fdd0,power_design,angle,2,3,0.059632103301148764,0.1458832829937492,0.08665632480920418,33,33,31,0.9393939393939394,0.04153602526317222,ok
orientation,0.5,power_design-96aa7435fdd0,power_design,delta,0,3,0.0021140348755898652,0.036269894281556525,0.02040237587817179,34,34,23,0.6764705882352942,0.08023094083513455,ok
orientation,0.5,power_design-96aa7435fdd0,power_design,delta,1,3,0.03693827970520225,0.05803195983618814,0.04695078862700947,33,33,22,0.6666666666666666,0.08206099398622183,ok
orientation,0.5,power_design-96aa7435fdd0,power_design,delta,2,3,0.059632103301148764,0.1458832829937492,0.08665632480920418,33,33,20,0.6060606060606061,0.08505811700208933,ok
orientation,0.5,power_design-96aa7435fdd0,power_design,shape,0,3,0.0021140348755898652,0.036269894281556525,0.02040237587817179,34,34,32,0.9411764705882353,0.04035260826882561,ok
orientation,0.5,power_design-96aa7435fdd0,power_design,shape,1,3,0.03693827970520225,0.05803195983618814,0.04695078862700947,33,33,30,0.9090909090909091,0.05004380750574367,ok
orientation,0.5,power_design-96aa7435fdd0,power_design,shape,2,3,0.059632103301148764,0.1458832829937492,0.08665632480920418,33,33,27,0.8181818181818182,0.06714081326145421,ok
orientation,0.5,power_design-ff0d1ac8d8a2,power_design,angle,0,3,0.004296178375375381,0.032003900238996186,0.019746153458238175,34,34,27,0.7941176470588235,0.06934458070529786,ok
orientation,0.5,power_design-ff0d1ac8d8a2,power_design,angle,1,3,0.03234693567336644,0.06177795039519779,0.04758667749518362,33,33,30,0.9090909090909091,0.05004380750574367,ok
orientation,0.5,power_design-ff0d1ac8d8a2,power_design,angle,2,3,0.06285158790761791,0.13801297815213576,0.08824107137491291,33,33,32,0.9696969696969697,0.029840361449535197,ok
orientation,0.5,power_design-ff0d1ac8d8a2,power_design,delta,0,3,0.004296178375375381,0.032003900238996186,0.019746153458238175,34,34,28,0.8235294117647058,0.06537869767367192,ok
orientation,0.5,power_design-ff0d1ac8d8a2,power_design,delta,1,3,0.03234693567336644,0.06177795039519779,0.04758667749518362,33,33,24,0.7272727272727273,0.07752753322022198,ok
orientation,0.5,power_design-ff0d1ac8d8a2,power_design,delta,2,3,0.06285158790761791,0.13801297815213576,0.08824107137491291,33,33,26,0.7878787878787878,0.07116472642790657,ok
orientation,0.5,power_design-ff0d1ac8d8a2,power_design,shape,0,3,0.004296178375375381,0.032003900238996186,0.019746153458238175,34,34,34,1.0,0.0,ok
orientation,0.5,power_design-ff0d1ac8d8a2,power_design,shape,1,3,0.03234693567336644,0.06177795039519779,0.04758667749518362,33,33,33,1.0,0.0,ok
