trajectory_mode,effect_size,cell_id,phase,configuration,n_replicates,n_recorded,n_available,mean_eigengap,sd_eigengap,q25_eigengap,median_eigengap,q75_eigengap,min_eigengap,max_eigengap
orientation,0.25,power_design-d9a8cd333a53,power_design,pooled,100,100,100,0.049968642126731265,0.028575674366326027,0.027097362493459884,0.04745862325556319,0.06850543859946348,0.005967588850875283,0.1508906141252802
orientation,0.25,power_design-da3c14e14e07,power_design,A,100,100,100,0.052803685018181404,0.030029444200564255,0.02690028211175799,0.05503682226245765,0.07068762993092112,0.007889820798767821,0.1395306623465567
orientation,0.25,power_design-da3c14e14e07,power_design,B,100,100,100,0.053311167659748256,0.028802689018255733,0.030526189985238858,0.04978552008064327,0.07542335712400819,0.0018186656753825248,0.15960270750330807
orientation,0.25,power_design-da3c14e14e07,power_design,pooled,100,100,100,0.04804140701503816,0.028399450952492425,0.02569089650894739,0.04448501116173498,0.0661927055353593,0.004864641737790332,0.14764728716401437
orientation,0.25,power_primary-de9b49f334e4,power_primary,A,100,100,100,0.055961776871694034,0.030940834668465825,0.03211294216768447,0.05216246006189984,0.0759469887791276,0.006217596668123437,0.14227877202805206
orientation,0.25,power_primary-de9b49f334e4,power_primary,B,100,100,100,0.05509973731453005,0.029387795262605675,0.02967058385338843,0.0555633793526806,0.07457028809835223,0.005849149642057128,0.16286425232755913
orientation,0.25,power_primary-de9b49f334e4,power_primary,pooled,100,100,100,0.05028427957875003,0.028559639887514778,0.027097362493459967,0.04886091830372294,0.06850543859946359,0.005967588850875283,0.15089061412528004
orientation,0.5,power_design-32b384ac48ed,power_design,A,100,100,100,0.08127904466009685,0.03956300144039104,0.05470261416863817,0.0747721348927167,0.10792789285953708,0.010956497247452401,0.18430031542633346
orientation,0.5,power_design-32b384ac48ed,power_design,B,100,100,100,0.08045179171282887,0.04415854582692473,0.0487134611218534,0.07396212972260102,0.11243727480310398,0.00412555422331351,0.1864535143970215
orientation,0.5,power_design-32b384ac48ed,power_design,pooled,100,100,100,0.05103828844092472,0.030297507780024262,0.028079728659508543,0.04752629117184293,0.07365588998047695,0.0020617421617124543,0.14594938701086735
orientation,0.5,power_design-512362b8e6aa,power_design,A,100,100,100,0.05682067824269838,0.032553927109605356,0.030687813269192718,0.05141834127474512,0.07485451938000685,0.00654838171692973,0.159521507920853
orientation,0.5,power_design-512362b8e6aa,power_design,B,100,100,100,0.06099917824810872,0.03393480127912197,0.03202153103631242,0.056812613443897375,0.08376067389020285,0.006867144607528686,0.1669813986288699
orientation,0.5,power_design-512362b8e6aa,power_design,pooled,100,100,100,0.05129129403945774,0.03043456627893169,0.028601157460622875,0.04789485786042355,0.07385133782595493,0.0007038749222572638,0.14603219749300506
orientation,0.5,power_design-817a1c1ca05a,power_design,A,100,100,100,0.05741461859715587,0.030480728737933383,0.034094486898181106,0.05652063856687359,0.07634568230478213,0.0028840660007987684,0.13602282608919447
orientation,0.5,power_design-817a1c1ca05a,power_design,B,100,100,100,0.057914565682153044,0.033381666297569466,0.030255284784915792,0.04857423793941501,0.08394991914852383,0.009676544831372036,0.13363461919782005
orientation,0.5,power_design-817a1c1ca05a,power_design,pooled,100,100,100,0.05102473145503627,0.030283526056877057,0.028103259923906068,0.04746923464555694,0.07361941991563516,0.0021205449307922786,0.14587999388590833
orientation,0.5,power_design-96aa7435fdd0,power_design,A,100,100,100,0.0635682513748995,0.03156650546129882,0.041138935174642094,0.06072713198374216,0.07772060438194973,0.0030219470653627956,0.16488347106524193
