evaluation.integration_params.forced_components,phase,is_baseline,trajectory_mode,effect_size,statistic,n_cells,n_replicates,n_available,n_rejected,rejection_rate,monte_carlo_se,n_eigengap_available,mean_eigengap,q33_eigengap,median_eigengap,q67_eigengap,n_angle_null_available,median_angle_null_q95,iqr_angle_null_q95,sd_angle_null_q95,n_selected_lv_available,median_selected_lv,min_selected_lv,max_selected_lv,component_selection
4.0,power_design,False,magnitude,1.0,angle,1,100,100,23,0.23,0.042083250825001625,100,0.048723259547326564,0.03485511876788522,0.04430625300341254,0.05520742641857945,100,13.402842664886824,12.626131961606024,54.00810919725616,100,4.0,4,4,forced
4.0,power_design,False,magnitude,1.0,shape,1,100,100,75,0.75,0.04330127018922193,100,0.048723259547326564,0.03485511876788522,0.04430625300341254,0.05520742641857945,100,13.402842664886824,12.626131961606024,54.00810919725616,100,4.0,4,4,forced
4.0,power_design,False,none,0.0,delta,1,100,100,0,0.0,0.0,100,0.04925031230213084,0.034491873282746,0.04696384060417455,0.0554634091169513,100,10.768269355747277,5.134606585154691,49.204314416964,100,4.0,4,4,forced
4.0,power_design,False,none,0.0,angle,1,100,100,2,0.02,0.014,100,0.04925031230213084,0.034491873282746,0.04696384060417455,0.0554634091169513,100,10.768269355747277,5.134606585154691,49.204314416964,100,4.0,4,4,forced
4.0,power_design,False,none,0.0,shape,1,100,100,0,0.0,0.0,100,0.04925031230213084,0.034491873282746,0.04696384060417455,0.0554634091169513,100,10.768269355747277,5.134606585154691,49.204314416964,100,4.0,4,4,forced
4.0,power_design,False,orientation,0.25,delta,1,100,100,68,0.68,0.0466476151587624,100,0.04804140701503816,0.031001106297301906,0.04448501116173498,0.05806350802682636,100,12.054796211640404,7.858691353348407,51.54528474913869,100,4.0,4,4,forced
4.0,power_design,False,orientation,0.25,angle,1,100,100,75,0.75,0.04330127018922193,100,0.04804140701503816,0.031001106297301906,0.04448501116173498,0.05806350802682636,100,12.054796211640404,7.858691353348407,51.54528474913869,100,4.0,4,4,forced
4.0,power_design,False,orientation,0.25,shape,1,100,100,100,1.0,0.0,100,0.04804140701503816,0.031001106297301906,0.04448501116173498,0.05806350802682636,100,12.054796211640404,7.858691353348407,51.54528474913869,100,4.0,4,4,forced
4.0,power_design,False,orientation,0.5,delta,1,100,100,79,0.79,0.0407308237088326,100,0.05129129403945774,0.03660224073020013,0.04789485786042355,0.05943494349519168,100,12.7008924405066,11.045708385298168,54.262466144618536,100,4.0,4,4,forced
4.0,power_design,False,orientation,0.5,angle,1,100,100,76,0.76,0.04270831300812525,100,0.05129129403945774,0.03660224073020013,0.04789485786042355,0.05943494349519168,100,12.7008924405066,11.045708385298168,54.262466144618536,100,4.0,4,4,forced
