trajectory_mode,effect_size,checkpoint,measurement_space,scope,is_joint,statistic,median,mean,sd,n_available,anchor_median,excess_over_anchor
magnitude,0.25,population_standardized,standardized_feature,joint,True,delta,6.3788128263671595,6.393299898324654,0.33052756390525906,500,0.0,6.3788128263671595
magnitude,0.5,population_standardized,standardized_feature,joint,True,delta,11.721122082880612,11.748673918978824,0.600364563803679,500,0.0,11.721122082880612
magnitude,0.75,population_standardized,standardized_feature,joint,True,delta,16.048464391387455,16.080307640575093,0.8157466521251893,500,0.0,16.048464391387455
magnitude,1.0,population_standardized,standardized_feature,joint,True,delta,19.503802636410803,19.533123250646163,0.9866664211297506,500,0.0,19.503802636410803
magnitude,0.25,observed_standardized,standardized_feature,expression,False,shape,0.010699122227227357,0.010910285875605056,0.003720239459514949,500,0.010570845565075702,0.00012827666215165477
magnitude,0.5,observed_standardized,standardized_feature,expression,False,shape,0.01069912222722746,0.010910285875605058,0.003720239459514946,500,0.010570845565075702,0.00012827666215175712
magnitude,0.75,observed_standardized,standardized_feature,expression,False,shape,0.010699122227227242,0.010910285875605056,0.003720239459514951,500,0.010570845565075702,0.00012827666215154028
magnitude,1.0,observed_standardized,standardized_feature,expression,False,shape,0.010699122227227242,0.010910285875605047,0.00372023945951495,500,0.010570845565075702,0.00012827666215154028
magnitude,0.25,observed_standardized,standardized_feature,methylation,False,shape,0.010266294230348721,0.011461030669318403,0.005489470956790826,500,0.010999690457148336,-0.0007333962267996146
magnitude,0.5,observed_standardized,standardized_feature,methylation,False,shape,0.010150173410784086,0.011718789136493164,0.0060550622995112005,500,0.010999690457148336,-0.0008495170463642503
magnitude,0.75,observed_standardized,standardized_feature,methylation,False,shape,0.010503518664071562,0.012513656404468842,0.006944920765454847,500,0.010999690457148336,-0.0004961717930767745
magnitude,1.0,observed_standardized,standardized_feature,methylation,False,shape,0.011393883220436385,0.013701359114031616,0.008036511409783386,500,0.010999690457148336,0.0003941927632880489
magnitude,0.25,observed_standardized,standardized_feature,proteomics,False,shape,0.006397389984171983,0.006657437128326099,0.0022383537982437283,500,0.006304149063712896,9.324092045908706e-05
magnitude,0.5,observed_standardized,standardized_feature,proteomics,False,shape,0.006397389984171864,0.006657437128326099,0.0022383537982437252,500,0.006304149063712896,9.324092045896737e-05
magnitude,0.75,observed_standardized,standardized_feature,proteomics,False,shape,0.006397389984171862,0.006657437128326097,0.00223835379824372,500,0.006304149063712896,9.324092045896563e-05
magnitude,1.0,observed_standardized,standardized_feature,proteomics,False,shape,0.006397389984171742,0.006657437128326094,0.002238353798243728,500,0.006304149063712896,9.324092045884594e-05
magnitude,0.25,observed_standardized,standardized_feature,joint,True,shape,0.009052206454454727,0.009510960559012856,0.003320249622921354,500,0.005604723297484347,0.0034474831569703806
magnitude,0.5,observed_standardized,standardized_feature,joint,True,shape,0.014297225546662292,0.014632582943097631,0.004944965437908899,500,0.005604723297484347,0.008692502249177945
magnitude,0.75,observed_standardized,standardized_feature,joint,True,shape,0.0186653339949136,0.019160704138031632,0.006425051148323139,500,0.005604723297484347,0.013060610697429252
magnitude,1.0,observed_standardized,standardized_feature,joint,True,shape,0.022568612470697996,0.02296300530836643,0.007654871122286903,500,0.005604723297484347,0.016963889173213648
magnitude,0.25,pls_latent,pls_latent,joint,True,shape,0.009099746167912526,0.009504606964685183,0.003374927538920164,500,0.005757076584734662,0.003342669583177865
magnitude,0.5,pls_latent,pls_latent,joint,True,shape,0.014436504473525642,0.01468212767678563,0.005052821765114766,500,0.005757076584734662,0.00867942788879098
magnitude,0.75,pls_latent,pls_latent,joint,True,shape,0.019198008935417128,0.019402159914743262,0.006639613563477252,500,0.005757076584734662,0.013440932350682467
magnitude,1.0,pls_latent,pls_latent,joint,True,shape,0.02329172804555201,0.023529201146459545,0.008012380102497493,500,0.005757076584734662,0.017534651460817348
magnitude,0.25,population_native,native_omic_units,expression,False,shape,1.0868219388937115e-15,1.1864204483876969e-15,4.203787309957405e-16,500,1.0754384912420657e-15,1.1383447651645858e-17
magnitude,0.5,population_native,native_omic_units,expression,False,shape,1.0715771035747028e-15,1.1685644878618724e-15,4.129192428835666e-16,500,1.0754384912420657e-15,-3.861387667362929e-18
magnitude,0.75,population_native,native_omic_units,expression,False,shape,1.076473500356041e-15,1.1773178509387237e-15,3.9712727691806925e-16,500,1.0754384912420657e-15,1.0350091139753182e-18
magnitude,1.0,population_native,native_omic_units,expression,False,shape,1.0676371855797085e-15,1.1739144723073077e-15,4.520450115982601e-16,500,1.0754384912420657e-15,-7.801305662357208e-18
magnitude,0.25,population_native,native_omic_units,methylation,False,shape,1.4924681504100045e-15,1.5468584698163961e-15,3.8252528275245377e-16,500,1.465672132269263e-15,2.679601814074151e-17
magnitude,0.5,population_native,native_omic_units,methylation,False,shape,1.4834633062168693e-15,1.5529664473339735e-15,4.1745071864587034e-16,500,1.465672132269263e-15,1.779117394760633e-17
magnitude,0.75,population_native,native_omic_units,methylation,False,shape,1.482129201456825e-15,1.5458133774711127e-15,3.9271020829869365e-16,500,1.465672132269263e-15,1.6457069187562025e-17
magnitude,1.0,population_native,native_omic_units,methylation,False,shape,1.4713756847492427e-15,1.5342611864800656e-15,3.8521584259739014e-16,500,1.465672132269263e-15,5.703552479979721e-18
magnitude,0.25,population_native,native_omic_units,proteomics,False,shape,1.1639599168717225e-15,1.2996762056958934e-15,4.715509191645523e-16,500,1.15934074729923e-15,4.619169572492428e-18
magnitude,0.5,population_native,native_omic_units,proteomics,False,shape,1.139582044468693e-15,1.2667037260012575e-15,4.615301046132077e-16,500,1.15934074729923e-15,-1.9758702830537045e-17
magnitude,0.75,population_native,native_omic_units,proteomics,False,shape,1.1626884200918298e-15,1.2853228653578812e-15,4.600782958502829e-16,500,1.15934074729923e-15,3.3476727925997216e-18
magnitude,1.0,population_native,native_omic_units,proteomics,False,shape,1.1455985544114894e-15,1.2806514168051983e-15,4.932571912610591e-16,500,1.15934074729923e-15,-1.3742192887740618e-17
magnitude,0.25,population_standardized,standardized_feature,expression,False,shape,8.590642358442212e-16,9.290377451780473e-16,3.7052867181940263e-16,500,8.614169983718292e-16,-2.3527625276079863e-18
magnitude,0.5,population_standardized,standardized_feature,expression,False,shape,8.561506549267125e-16,9.220699889100627e-16,3.6456315682082835e-16,500,8.614169983718292e-16,-5.26634344511675e-18
magnitude,0.75,population_standardized,standardized_feature,expression,False,shape,8.590892107393029e-16,9.333284377736906e-16,3.851950442052867e-16,500,8.614169983718292e-16,-2.3277876325263487e-18
